Código Produto;Produto;Quantidade em Estoque;Código Acesso;Dias Ult. Entrada;Custo Liq. Unitário
;TOTAL: 289 linhas;1.801,00;;118.007,00;42,7816
37111;AGASALHO MOLETOM BRANCO TAM M;5;1400;151;78,1016
50560;AGASALHO MOLETOM C CAPUZ T G MARINHO;2;50560;151;81,37
50986;AGASALHO MOLETOM C CAPUZ T GG BCO;3;50986;537;74,6167
36899;AGASALHO MOLETOM C CAPUZ T M MARINHO;4;1254;151;88,7119
36898;AGASALHO MOLETOM C CAPUZ T P MARINHO;19;1252;151;86,636
36897;AGASALHO MOLETOM C CAPUZ T PP MARINHO;4;1251;151;78,685
38161;AGASALHO MOLETOM S CAPUZ T GG MARINHO;3;1423;1.286,00;73,2643
43634;AGASALHO MOLETOM S CAPUZ TAM PP MARINHO;1;43634;1.132,00;74,36
51986;AGASALHO MOLETOM T PP BCO;4;51986;588;0
34342;AVENTAL BRIM BCO C BOLSO;14;2118024;118;32,5
34343;AVENTAL BRIM BCO S BOLSO;1;1879407;753;21,4133
34347;AVENTAL OXFORD PRETO E VERDE;11;2040455;693;18,8372
34351;BABY LOOK FEM COZINHA BCA T M;1;1882995;494;25,6475
27891;BABY LOOK FRIOS BRANCA P;1;976473;537;25,6475
34687;BABY LOOK M C PV VDE MUSGO T G;3;14071;402;29,6
32690;BABY LOOK POLO M C PIQUE BAND T PP VERDE 6826;4;8733839;803;25,6475
34360;BABY LOOK POLO M C PIQUE VDE BAND G;11;17882;461;27,2361
34361;BABY LOOK POLO M C PIQUE VDE BAND M;8;77309051;537;26,4162
34949;BABY LOOK POLO M C PIQUE VDE MACA T P;2;12668;578;25,5807
43560;BABY LOOK POLO M C PIQUE VERDE MILITAR T GG;15;43560;537;25,6467
52668;BABY LOOK POLO M C PIQUE VERDE MILITAR T PP;6;52668;537;25,6467
35195;BABY LOOK POLO M C VDE MILITAR T G;3;100106;537;25,6467
34469;BABY LOOK POLO M C VDE MILITAR T M;16;100109;558;25,05
35239;BABY LOOK POLO M CURTA PIQUE VERDE T PP;14;14279;537;25,6472
35326;BABY LOOK POLO PIQ VDE MACA M C GG;9;13503;578;27,05
27226;BABY LOOK POLO PIQUE BRANCO T G 0050C;1;7907039;537;25,6468
45757;BABY LOOK POLO PIQUE M C PRETO T G;1;45757;727;25,6143
